Id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
317,M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10
3549,I,0.5,0.365,0.125,0.528,0.22899999999999998,0.10300000000000001,0.1645,9
794,M,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635,12
1983,F,0.725,0.57,0.205,1.6195,0.7440000000000001,0.315,0.488,11
1969,F,0.67,0.53,0.205,1.4015,0.643,0.2465,0.41600000000000004,12
1625,M,0.565,0.43,0.15,0.831,0.4245,0.1735,0.21899999999999997,10
620,M,0.345,0.255,0.08,0.16899999999999998,0.06,0.0425,0.054000000000000006,10
1237,I,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6
2569,I,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111,6
177,I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8
50,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8
64,M,0.52,0.4,0.12,0.58,0.23399999999999999,0.1315,0.185,8
1593,I,0.525,0.38,0.135,0.615,0.261,0.159,0.175,8
879,F,0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8
2347,M,0.505,0.4,0.13,0.764,0.3035,0.18899999999999997,0.2175,11
3515,F,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,12
953,F,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7
4087,I,0.595,0.475,0.155,0.9840000000000001,0.4865,0.184,0.2755,10
3569,I,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11
3353,I,0.475,0.365,0.14,0.4545,0.171,0.11800000000000001,0.158,8
1281,I,0.5,0.38,0.135,0.594,0.2945,0.10400000000000001,0.1565,9
399,M,0.585,0.455,0.15,0.987,0.4355,0.2075,0.31,11
3728,I,0.51,0.375,0.15,0.8415,0.3845,0.156,0.255,10
2549,I,0.28,0.21,0.055,0.106,0.0415,0.0265,0.031,5
2760,I,0.55,0.43,0.145,0.7120000000000001,0.3025,0.152,0.225,10
758,M,0.57,0.44,0.155,1.1159999999999999,0.4775,0.2315,0.27,13
1815,F,0.665,0.515,0.185,1.3405,0.5595,0.293,0.4375,11
1300,I,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9
2944,M,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348,7
1359,M,0.605,0.49,0.14,0.9755,0.419,0.20600000000000002,0.315,10
2990,F,0.59,0.44,0.14,1.0070000000000001,0.4775,0.2105,0.2925,9
461,F,0.585,0.465,0.17,0.9915,0.3865,0.22399999999999998,0.265,12
2996,F,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,10
2162,F,0.71,0.565,0.195,1.817,0.785,0.49200000000000005,0.49,11
1261,I,0.45,0.33,0.105,0.44799999999999995,0.20800000000000002,0.08900000000000001,0.12,9
2911,F,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,11
3682,M,0.62,0.5,0.18,1.3915,0.726,0.2795,0.332,11
2931,F,0.615,0.515,0.135,1.1215,0.545,0.2305,0.29,9
788,F,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9
4110,M,0.51,0.41,0.155,1.2825,0.569,0.29100000000000004,0.3795,9
3202,F,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17
899,I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5
1411,F,0.67,0.53,0.225,1.5615,0.63,0.48700000000000004,0.3725,11
386,M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12
3159,F,0.34,0.255,0.085,0.204,0.09699999999999999,0.021,0.05,6
1139,F,0.575,0.47,0.165,0.8690000000000001,0.435,0.19699999999999998,0.23800000000000002,9
1974,M,0.685,0.535,0.155,1.3845,0.6615,0.2145,0.4075,10
2143,M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10
3405,I,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05,7
4117,F,0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315,9
989,M,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9
191,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12
1070,I,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6
3170,F,0.57,0.465,0.155,0.872,0.3245,0.239,0.285,14
1051,F,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,11
4031,I,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075,8
2970,M,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341,13
2560,I,0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,7
2801,M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10
383,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12
2675,M,0.6,0.49,0.21,1.9875,1.005,0.419,0.491,10
2155,M,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,16
565,M,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,10
4008,M,0.585,0.455,0.155,1.133,0.5515,0.223,0.305,12
2689,M,0.645,0.515,0.16,1.1845,0.506,0.311,0.335,9
3962,F,0.72,0.575,0.195,2.1505,1.0745,0.382,0.585,10
720,I,0.16,0.11,0.025,0.018000000000000002,0.0065,0.0055,0.005,3
1185,F,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9
1220,I,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052000000000000005,7
2423,F,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095,10
1386,M,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,12
3633,I,0.3,0.22,0.065,0.1195,0.052000000000000005,0.0155,0.035,5
4018,M,0.66,0.485,0.155,1.2275,0.61,0.27399999999999997,0.3,8
3509,F,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10
3660,F,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,10
3945,I,0.235,0.175,0.065,0.0615,0.0205,0.02,0.019,6
3173,M,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065,6
3978,M,0.485,0.39,0.12,0.599,0.251,0.1345,0.16899999999999998,8
3149,F,0.7,0.54,0.215,1.9780000000000002,0.6675,0.3125,0.71,24
939,I,0.46,0.36,0.1,0.4635,0.2325,0.09300000000000001,0.115,7
1414,M,0.685,0.545,0.205,1.7925,0.8145,0.41600000000000004,0.461,9
263,I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026000000000000002,4
1078,I,0.42,0.31,0.095,0.27899999999999997,0.1255,0.051,0.08800000000000001,6
1945,F,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,11
965,M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
1494,M,0.62,0.485,0.155,1.0490000000000002,0.462,0.231,0.25,10
2563,I,0.44,0.355,0.12,0.495,0.231,0.11,0.125,7
3269,F,0.595,0.465,0.145,1.107,0.402,0.2415,0.31,12
2487,F,0.63,0.51,0.185,1.235,0.5115,0.349,0.3065,11
71,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8
1832,I,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081,8
3184,F,0.67,0.545,0.175,1.7069999999999999,0.6995,0.387,0.575,13
3970,I,0.385,0.285,0.09,0.248,0.0935,0.066,0.07,6
2306,F,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12
169,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12
2473,F,0.615,0.47,0.175,1.2985,0.5135,0.34299999999999997,0.32,14
2183,M,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,6
2013,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
951,M,0.48,0.36,0.1,0.439,0.19399999999999998,0.099,0.115,8
1128,F,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8
1761,M,0.75,0.595,0.205,2.2205,1.083,0.42100000000000004,0.63,12
648,I,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11
2351,M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19
871,F,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11
2287,F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7
3813,I,0.35,0.26,0.095,0.221,0.0985,0.043,0.07,8
97,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8
2038,I,0.28,0.215,0.08,0.132,0.07200000000000001,0.022000000000000002,0.033,5
1544,I,0.37,0.27,0.095,0.2175,0.09699999999999999,0.046,0.065,6
159,F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
368,M,0.63,0.49,0.18,1.13,0.45799999999999996,0.2765,0.315,12
1949,M,0.64,0.53,0.165,1.1895,0.4765,0.3,0.35,11
1713,M,0.645,0.5,0.175,1.3375,0.5539999999999999,0.308,0.415,10
3080,M,0.71,0.56,0.175,1.724,0.5660000000000001,0.4575,0.4625,13
2293,I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6
1736,F,0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,13
3339,F,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,12
553,I,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,13
1240,I,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,6
2981,F,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8
2692,M,0.65,0.515,0.125,1.1805,0.5235,0.28300000000000003,0.3275,9
1547,I,0.38,0.29,0.1,0.237,0.10800000000000001,0.0395,0.08199999999999999,6
559,I,0.52,0.4,0.145,0.66,0.267,0.1055,0.22,13
1657,M,0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,9
4027,I,0.365,0.27,0.09,0.2155,0.1005,0.049,0.0655,6
1763,M,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12
3667,F,0.585,0.42,0.155,1.034,0.43700000000000006,0.2225,0.32,11
316,F,0.635,0.535,0.19,1.242,0.5760000000000001,0.2475,0.39,14
3014,I,0.395,0.3,0.09,0.253,0.1155,0.05,0.075,6
1644,M,0.58,0.46,0.155,1.0335,0.469,0.2225,0.295,10
1478,M,0.575,0.465,0.15,1.08,0.595,0.2065,0.23800000000000002,9
1504,F,0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,10
1427,F,0.75,0.61,0.235,2.5085,1.232,0.519,0.612,14
299,M,0.37,0.28,0.105,0.23399999999999999,0.0905,0.0585,0.075,9
3829,F,0.71,0.555,0.17,1.47,0.5375,0.38,0.431,12
616,F,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12
2622,F,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,13
5,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8
1246,I,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.08900000000000001,7
3084,I,0.23,0.17,0.05,0.057,0.026000000000000002,0.013000000000000001,0.016,5
2833,F,0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,9
369,F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17
4142,M,0.655,0.525,0.18,1.402,0.624,0.2935,0.365,13
1564,I,0.46,0.35,0.11,0.4,0.17600000000000002,0.083,0.1205,7
211,M,0.335,0.25,0.09,0.18100000000000002,0.0755,0.0415,0.06,7
1127,M,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,8
1569,I,0.475,0.36,0.145,0.6325,0.2825,0.13699999999999998,0.19,8
1420,F,0.71,0.55,0.17,1.614,0.743,0.345,0.45,11
2104,F,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,11
3382,M,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15
3424,M,0.64,0.51,0.17,1.3715,0.5670000000000001,0.307,0.409,10
1160,F,0.605,0.475,0.165,1.056,0.433,0.2195,0.35700000000000004,9
940,I,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7
2688,M,0.63,0.465,0.15,1.0270000000000001,0.537,0.188,0.17600000000000002,8
1948,M,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,10
713,M,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8
3743,F,0.705,0.555,0.195,1.7525,0.7105,0.4215,0.516,12
2462,M,0.44,0.325,0.08,0.413,0.14400000000000002,0.1015,0.13,8
361,F,0.59,0.465,0.15,0.997,0.392,0.24600000000000002,0.34,12
1519,M,0.67,0.51,0.175,1.5265,0.6509999999999999,0.4475,0.345,10
1606,I,0.54,0.425,0.13,0.7205,0.2955,0.16899999999999998,0.225,10
3478,I,0.435,0.335,0.11,0.41100000000000003,0.2025,0.0945,0.1,7
779,F,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15
3020,I,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,8
890,F,0.695,0.56,0.22,1.834,0.8455,0.42200000000000004,0.455,11
796,M,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,11
1530,M,0.75,0.55,0.18,1.893,0.9420000000000001,0.397,0.445,11
3433,I,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,6
1254,I,0.425,0.325,0.11,0.3335,0.17300000000000001,0.045,0.1,7
3658,I,0.535,0.45,0.155,0.8075,0.3655,0.14800000000000002,0.2595,10
519,F,0.345,0.25,0.09,0.203,0.078,0.059000000000000004,0.055,6
1867,I,0.525,0.415,0.12,0.596,0.2805,0.12,0.1695,9
1972,M,0.68,0.54,0.19,1.6230000000000002,0.7165,0.354,0.4715,12
936,I,0.45,0.335,0.105,0.447,0.2335,0.153,0.11900000000000001,7
351,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22
2638,I,0.46,0.345,0.11,0.3755,0.1525,0.057999999999999996,0.125,7
3715,M,0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745,11
3517,F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.39799999999999996,11
4170,M,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405,10
2858,M,0.695,0.54,0.195,1.6909999999999998,0.768,0.363,0.4755,11
1015,F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9
2308,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
1473,F,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8
744,M,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,20
686,F,0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21,13
1428,F,0.815,0.65,0.25,2.255,0.8905,0.42,0.7975,14
677,F,0.5,0.375,0.115,0.5945,0.185,0.14800000000000002,0.19,11
3593,F,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8
725,F,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17
3340,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
3135,M,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9
1290,I,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,7
2378,I,0.415,0.325,0.115,0.3285,0.1405,0.051,0.106,12
2025,F,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,10
3723,I,0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,9
1037,M,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9
3737,M,0.625,0.47,0.15,1.124,0.556,0.2315,0.287,9
1649,I,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10
1752,M,0.71,0.56,0.22,2.015,0.9215,0.45399999999999996,0.5660000000000001,11
458,I,0.415,0.31,0.11,0.2965,0.12300000000000001,0.057,0.0995,10
1487,M,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,8
955,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
924,I,0.425,0.315,0.1,0.377,0.1645,0.07200000000000001,0.105,6
2669,M,0.59,0.47,0.15,0.861,0.413,0.16399999999999998,0.249,8
2631,I,0.375,0.29,0.1,0.21899999999999997,0.0925,0.038,0.075,6
338,M,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,13
2895,I,0.54,0.415,0.11,0.619,0.2755,0.15,0.1765,10
2399,F,0.53,0.43,0.17,0.775,0.35,0.152,0.235,17
719,I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
2889,I,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16,8
305,I,0.2,0.145,0.06,0.037000000000000005,0.0125,0.0095,0.011000000000000001,4
2019,I,0.51,0.455,0.135,0.6855,0.2875,0.154,0.2035,9
3862,M,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,10
2872,I,0.4,0.315,0.09,0.3245,0.151,0.073,0.08800000000000001,8
376,M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11
1513,M,0.65,0.485,0.14,1.175,0.475,0.2435,0.215,8
1242,I,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,9
3765,I,0.535,0.45,0.135,0.728,0.2845,0.1845,0.265,9
2033,M,0.61,0.49,0.16,1.112,0.465,0.228,0.341,10
1944,F,0.635,0.52,0.165,1.3405,0.5065,0.29600000000000004,0.41200000000000003,11
1032,M,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11
2777,I,0.585,0.42,0.145,0.6735,0.2895,0.1345,0.22,9
1368,M,0.61,0.46,0.16,1.0,0.494,0.19699999999999998,0.275,10
793,M,0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12
3175,I,0.51,0.405,0.12,0.61,0.22899999999999998,0.131,0.235,11
2390,F,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,16
628,I,0.53,0.415,0.145,0.9440000000000001,0.3845,0.185,0.265,21
422,F,0.49,0.39,0.135,0.5785,0.2465,0.12300000000000001,0.2,13
330,M,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12
3732,F,0.575,0.42,0.19,1.764,0.914,0.377,0.4095,10
1256,I,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7
1962,F,0.655,0.525,0.175,1.348,0.5855,0.2605,0.39399999999999996,10
1590,I,0.52,0.39,0.13,0.5545,0.2355,0.1095,0.1895,7
3099,M,0.575,0.48,0.15,0.9465,0.4355,0.2605,0.2505,9
3352,F,0.52,0.405,0.145,0.8290000000000001,0.3535,0.1685,0.205,15
1150,M,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9
2864,I,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038,6
710,I,0.325,0.25,0.08,0.17600000000000002,0.0595,0.0355,0.063,7
1101,I,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,8
3473,I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013000000000000001,4
2677,F,0.615,0.475,0.17,1.055,0.5429999999999999,0.24600000000000002,0.2345,9
2795,M,0.63,0.47,0.15,1.1355,0.539,0.2325,0.3115,12
3119,F,0.525,0.4,0.135,0.7140000000000001,0.318,0.138,0.20800000000000002,10
1013,F,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10
493,M,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,15
2342,I,0.255,0.185,0.07,0.075,0.027999999999999997,0.018000000000000002,0.025,6
2095,M,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7
2216,I,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,7
3934,I,0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215,5
1503,F,0.63,0.49,0.225,1.3359999999999999,0.6805,0.259,0.3245,10
4091,M,0.625,0.5,0.18,1.3705,0.645,0.303,0.3705,12
175,I,0.36,0.26,0.09,0.1785,0.0645,0.037000000000000005,0.075,7
981,F,0.55,0.43,0.14,0.8105,0.368,0.161,0.275,9
2443,F,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,11
826,I,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6
3574,F,0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205,9
3750,I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
2103,M,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9
2300,F,0.48,0.405,0.13,0.6375,0.27699999999999997,0.1445,0.21,10
2886,M,0.505,0.365,0.115,0.521,0.25,0.096,0.15,8
764,F,0.61,0.47,0.145,1.153,0.40299999999999997,0.29600000000000004,0.32,14
3905,M,0.38,0.27,0.095,0.21899999999999997,0.0835,0.0515,0.07,6
1203,F,0.73,0.575,0.185,1.8795,0.9309999999999999,0.38,0.4825,12
3805,M,0.425,0.305,0.11,0.359,0.17300000000000001,0.0875,0.0975,9
1284,I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9
1047,F,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12
864,M,0.6,0.495,0.175,1.29,0.606,0.276,0.3445,11
674,F,0.49,0.385,0.15,0.7865,0.24100000000000002,0.14,0.24,23
1647,F,0.585,0.445,0.14,0.9129999999999999,0.4305,0.2205,0.253,10
1367,M,0.61,0.48,0.17,1.137,0.4565,0.29,0.34700000000000003,10
3599,M,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,12
1540,I,0.36,0.27,0.095,0.2,0.073,0.055999999999999994,0.061,8
3053,F,0.6,0.45,0.14,0.8690000000000001,0.3425,0.195,0.29100000000000004,11
3045,F,0.58,0.435,0.155,0.8785,0.425,0.1685,0.2425,10
427,M,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,19
2697,M,0.66,0.515,0.165,1.4465,0.6940000000000001,0.298,0.3755,10
1760,F,0.75,0.565,0.215,1.9380000000000002,0.7735,0.4825,0.575,11
923,I,0.425,0.34,0.1,0.382,0.16399999999999998,0.096,0.1,6
240,M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17
1733,M,0.665,0.5,0.175,1.2975,0.6075,0.314,0.315,9
670,M,0.475,0.385,0.145,0.6175,0.235,0.10800000000000001,0.215,14
3377,I,0.255,0.19,0.07,0.0815,0.027999999999999997,0.016,0.031,5
4137,M,0.63,0.505,0.155,1.105,0.49200000000000005,0.226,0.325,11
1351,F,0.595,0.465,0.155,1.026,0.4645,0.11199999999999999,0.305,12
3232,M,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13
3481,I,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6
2240,M,0.415,0.315,0.125,0.38799999999999996,0.068,0.09,0.125,12
1023,F,0.64,0.5,0.175,1.3940000000000001,0.4935,0.29100000000000004,0.4,10
728,M,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,13
133,I,0.35,0.26,0.095,0.21100000000000002,0.086,0.055999999999999994,0.068,7
1044,M,0.69,0.525,0.175,1.7005,0.8255,0.36200000000000004,0.405,8
366,M,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11
1865,I,0.52,0.38,0.115,0.6645,0.3285,0.17,0.1425,7
3427,M,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13
1140,M,0.575,0.455,0.135,0.907,0.4245,0.19699999999999998,0.26,9
1357,M,0.6,0.46,0.155,0.9595,0.4455,0.18899999999999997,0.295,11
259,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13
3094,M,0.525,0.4,0.13,0.622,0.2655,0.147,0.184,9
3756,I,0.515,0.39,0.12,0.565,0.235,0.135,0.179,9
4068,I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7
3751,I,0.45,0.335,0.115,0.3935,0.195,0.071,0.11,7
1826,I,0.31,0.215,0.075,0.1275,0.0565,0.0275,0.036000000000000004,7
